  17:41:51.300 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.302 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：12
  17:41:51.330 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.330 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：13
  17:41:51.343 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.344 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：14
  17:41:51.350 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.351 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：15
  17:41:51.364 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.364 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：16
  17:41:51.370 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.370 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：12
  17:41:51.384 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.384 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：13
  17:41:51.391 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.391 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：14
  17:41:51.404 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.404 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：15
  17:41:51.411 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.412 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：16
  17:41:51.424 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.424 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：12
  17:41:51.440 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.440 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：13
  17:41:51.444 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.444 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：14
  17:41:51.457 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.457 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：15
  17:41:51.463 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.464 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：16
  17:41:51.471 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.471 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：12
  17:41:51.484 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.485 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：13
  17:41:51.492 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.492 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：14
  17:41:51.504 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.504 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：15
  17:41:51.527 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.528 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.528 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：16
  17:41:51.528 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：12
  17:41:51.531 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.532 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：13
  17:41:51.544 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.545 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：14
  17:41:51.551 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.560 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：15
  17:41:51.565 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.566 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：16
  17:41:51.571 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.571 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：12
  17:41:51.588 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.588 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：13
  17:41:51.591 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.592 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：14
  17:41:51.604 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.605 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：15
  17:41:51.613 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.614 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：16
  17:41:51.639 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.640 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.640 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：12
  17:41:51.640 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：13
  17:41:51.646 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.646 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：14
  17:41:51.652 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.653 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：16
  17:41:51.665 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.666 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：15
  17:41:51.672 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.673 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：12
  17:41:51.685 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.686 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：14
  17:41:51.693 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.694 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：13
  17:41:51.706 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.707 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：16
  17:41:51.712 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.713 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：15
  17:41:51.761 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.762 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：12
  17:41:51.763 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.764 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：14
  17:41:51.773 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.773 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：13
  17:41:51.774 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.775 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：16
  17:41:51.781 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.781 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：15
  17:41:51.784 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.784 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：12
  17:41:51.786 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.787 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：14
  17:41:51.792 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.792 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：16
  17:41:51.828 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.829 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：12
  17:41:51.833 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.833 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：13
  17:41:51.835 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.836 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：15
  17:41:51.838 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.838 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：14
  17:41:51.846 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.846 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：16
  17:41:51.852 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.852 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：12
  17:41:51.866 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.867 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：14
  17:41:51.872 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.872 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：13
  17:41:51.886 [main] INFO  com.javaNIO.test.SelectSockets - 新的链接接入
  17:41:51.887 [main] INFO  com.javaNIO.test.SelectSockets - 当前处理线程为：15
